rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
4320,401–500,Université Grenoble Alpes,42.1–44.9,4320,37.6,285,35,310,56.1,737,40.4,907,65.5,395,France,50868,18.2,17%,52:48:00,Université Grenoble Alpes,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Agriculture & Forestry,Archaeology,Medicine & Dentistry,Chemical Engineering,Biological Sciences,History, Philosophy & Theology,General Engineering,Law,Geography,Architecture,Other Health,Communication & Media Studies,Business & Management,Physics & Astronomy,Accounting & Finance,Psychology,Sociology,Civil Engineering,Sport Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Education,Mathematics & Statistics,Art, Performing Arts & Design,Computer Science,Chemistry",FALSE,FALSE
4330,401–500,Hanyang University,42.1–44.9,4330,41.8,203,40.8,224,40.8,1010,89.8,70,63.7,430,South Korea,20079,14.6,20%,,Hanyang University,"Sociology,Biological Sciences,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Psychology,Education,Business & Management,Accounting & Finance,Archaeology,Other Health,Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Architecture,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Economics & Econometrics,Physics & Astronomy,Civil Engineering",FALSE,FALSE
4340,401–500,HSE University,42.1–44.9,4340,32.5,427,45.3,174,54.6,767,61.6,257,43.9,835,Russia,32102,17.5,11%,,HSE University,"Languages, Literature & Linguistics,Psychology,Computer Science,Biological Sciences,Business & Management,Chemistry,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Civil Engineering,Sociology,Economics & Econometrics,Mathematics & Statistics,Architecture,Electrical & Electronic Engineering,Geography,Law,Politics & International Studies (incl Development Studies),Accounting & Finance,Physics & Astronomy,Art, Performing Arts & Design,Education",FALSE,FALSE
4350,401–500,Hunan University,42.1–44.9,4350,24,812,26.4,517,87.6,192,59.1,280,25.6,1439,China,41580,18.6,2%,47:53:00,Hunan University,"Architecture,General Engineering,Communication & Media Studies,Business & Management,Law,Chemical Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Economics & Econometrics,Chemistry,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics",FALSE,FALSE
4360,401–500,University of Ibadan,42.1–44.9,4360,30.1,522,15.7,976,83.7,252,37.4,1468,34.5,1117,Nigeria,26156,17.6,0%,49:51:00,University of Ibadan,"Biological Sciences,Agriculture & Forestry,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Physics & Astronomy,Sport Science,History, Philosophy & Theology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Archaeology,Chemical Engineering,Business & Management,Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Other Health,General Engineering,Geography,Languages, Literature & Linguistics,Computer Science,Law,Mathematics & Statistics",FALSE,FALSE
4370,401–500,Illinois Institute of Technology,42.1–44.9,4370,43.1,187,21.8,672,61,645,39.7,1006,67.3,380,United States of America,6386,11.5,41%,37 : 63,Illinois Institute of Technology,"Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Law,General Engineering,Mathematics & Statistics,Computer Science,Education,Communication & Media Studies,Architecture,Civil Engineering,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Psychology,Business & Management,Biological Sciences",FALSE,FALSE
4380,401–500,University of Innsbruck,42.1–44.9,4380,33.9,381,30.1,427,55.9,743,52.5,362,96.2,27,Austria,13918,22,46%,53:47:00,University of Innsbruck,"Chemical Engineering,Architecture,Psychology,Computer Science,Communication & Media Studies,Sociology,Physics & Astronomy,Archaeology,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Accounting & Finance,Business & Management,Sport Science,General Engineering,Education,Geography,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Other Health,Biological Sciences",FALSE,FALSE
4390,401–500,Institut Agro,42.1–44.9,4390,35.4,333,30.5,418,59.1,684,46.7,497,59.4,493,France,2148,11.5,16%,65:35:00,Institut Agro,"Civil Engineering,Veterinary Science,Geography,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Communication & Media Studies,Chemical Engineering,Accounting & Finance,Computer Science,Chemistry,Other Health,Mechanical & Aerospace Engineering,Biological Sciences,Sociology,Agriculture & Forestry",FALSE,FALSE
4400,401–500,University of International Business and Economics,42.1–44.9,4400,27.2,642,15.6,985,84,248,38.1,1275,54.3,587,China,16061,15.7,15%,69:31:00,University of International Business and Economics,"Economics & Econometrics,Accounting & Finance,Law,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management",FALSE,FALSE
4410,401–500,Iowa State University,42.1–44.9,4410,35.5,332,36.9,279,56.5,730,51,390,39.5,969,United States of America,28767,16.7,10%,44:56:00,Iowa State University,"Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,Other Health,General Engineering,Psychology,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Law,Business & Management,Sociology,Education,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Agriculture & Forestry",FALSE,FALSE
4420,401–500,Jazan University,42.1–44.9,4420,17.5,1422,8.5,1720,97,63,37.1,1614,74.8,274,Saudi Arabia,26568,13,3%,64:36:00,Jazan University,"General Engineering,Sociology,History, Philosophy & Theology,Medicine & Dentistry,Electrical & Electronic Engineering,Mathematics & Statistics,Archaeology,Education,Agriculture & Forestry,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Law,Art, Performing Arts & Design,Accounting & Finance,Physics & Astronomy,Civil Engineering,Architecture,Economics & Econometrics,Sport Science,Psychology,Other Health,Geology, Environmental, Earth & Marine Sciences,Chemistry,Business & Management,Chemical Engineering,Biological Sciences,Geography",FALSE,FALSE
4430,401–500,Justus Liebig University Giessen,42.1–44.9,4430,33.1,405,37.3,276,60.2,660,43.7,632,51.8,629,Germany,28278,44.6,11%,63:37:00,Justus Liebig University Giessen,"Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),Law,Agriculture & Forestry,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Psychology,Languages, Literature & Linguistics,Computer Science,Education,Sport Science,Biological Sciences,Medicine & Dentistry,Business & Management,Sociology,Accounting & Finance,Economics & Econometrics,Mathematics & Statistics,Chemistry,Physics & Astronomy",FALSE,FALSE
4440,401–500,University of Jyväskylä,42.1–44.9,4440,28.5,583,33.3,341,68,514,38.2,1247,51.2,644,Finland,10444,14.4,3%,62:38:00,University of Jyväskylä,"Accounting & Finance,Politics & International Studies (incl Development Studies),Other Health,Languages, Literature & Linguistics,Sport Science,History, Philosophy & Theology,Biological Sciences,Education,Mathematics & Statistics,Computer Science,Art, Performing Arts & Design,Chemistry,Sociology,Economics & Econometrics,Psychology,Business & Management,Communication & Media Studies,Physics & Astronomy",FALSE,FALSE
4450,401–500,University of Kansas,42.1–44.9,4450,38.1,281,24.4,574,67.2,535,46.3,509,49.2,687,United States of America,24435,9.9,8%,53:47:00,University of Kansas,"History, Philosophy & Theology,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Psychology,Other Health,Agriculture & Forestry,Biological Sciences,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Chemistry,General Engineering,Computer Science,Sociology,Civil Engineering,Accounting & Finance,Art, Performing Arts & Design,Law,Geography,Languages, Literature & Linguistics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics",FALSE,FALSE
4460,401–500,University of Klagenfurt,42.1–44.9,4460,23.5,838,18.2,836,74.7,419,38.5,1188,90.9,104,Austria,3562,10,28%,68:32:00,University of Klagenfurt,"Law,Psychology,Economics & Econometrics,Education,History, Philosophy & Theology,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,General Engineering,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Geography",FALSE,FALSE
4470,401–500,Koç University,42.1–44.9,4470,30.7,490,42.3,208,56.1,739,100,2,49.3,684,Turkey,5882,19.7,8%,48:52:00,Koç University koc,"Medicine & Dentistry,Politics & International Studies (incl Development Studies),General Engineering,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,Business & Management,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Biological Sciences,Sociology,Economics & Econometrics,Mathematics & Statistics",FALSE,FALSE
4480,401–500,University of KwaZulu-Natal,42.1–44.9,4480,30.4,507,34.4,317,63.9,592,38.2,1248,51.5,637,South Africa,35795,30.1,2%,60:40:00,University of KwaZulu-Natal UKZN Kwazulu Natal Kwa zulu,"Computer Science,Agriculture & Forestry,Geography,Business & Management,Sport Science,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Law,Sociology,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Architecture,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Mathematics & Statistics,Education,Biological Sciences,Psychology",FALSE,FALSE
4490,401–500,University of Lagos,42.1–44.9,4490,18.5,1271,14,1105,97.7,50,40.9,854,34,1131,Nigeria,36237,21.5,0%,48:52:00,University of Lagos,"Geography,Civil Engineering,Biological Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Chemical Engineering,Law,Medicine & Dentistry,Education,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,General Engineering,Accounting & Finance,Politics & International Studies (incl Development Studies),Architecture,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Sociology,Psychology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Economics & Econometrics",FALSE,FALSE
4500,401–500,Leibniz University Hannover,42.1–44.9,4500,39.1,260,39.2,251,46.2,920,48.9,431,54.7,583,Germany,21677,43.7,18%,42:58:00,Leibniz University Hannover,"Economics & Econometrics,Education,Mechanical & Aerospace Engineering,Sociology,General Engineering,Civil Engineering,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Law,Computer Science,Architecture,Biological Sciences,Physics & Astronomy,Chemistry,Accounting & Finance,Electrical & Electronic Engineering",FALSE,FALSE
4510,401–500,Lincoln University,42.1–44.9,4510,29.7,534,22.6,642,59.9,669,51.7,377,96.4,26,New Zealand,2492,13.3,44%,51:49:00,Lincoln University,"Sport Science,Accounting & Finance,Economics & Econometrics,Biological Sciences,Business & Management,Geology, Environmental, Earth & Marine Sciences,Computer Science,Agriculture & Forestry,Sociology,Architecture",FALSE,FALSE
4510,401–500,University of Lincoln,42.1–44.9,4510,17.8,1377,17.4,869,85.8,224,37.5,1433,75.4,265,United Kingdom,14480,15.7,13%,55:45:00,University of Lincoln,"Mechanical & Aerospace Engineering,Veterinary Science,General Engineering,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Chemistry,Sociology,Agriculture & Forestry,Accounting & Finance,Law,Psychology,Architecture,Education,Biological Sciences,Communication & Media Studies,Civil Engineering,Geography,Mathematics & Statistics,Languages, Literature & Linguistics",FALSE,FALSE
